timestamp,symbol,open,high,low,close,volume
2024-01-01 00:00:00+00:00,BTC,45173.7589,45200.7108,44948.9026,45084.2364,7985.28
2024-01-01 01:00:00+00:00,BTC,44967.1542,45035.0626,44733.0086,44798.213,10402.63
2024-01-01 02:00:00+00:00,BTC,44751.0414,45166.6639,44615.6499,45004.747,7796.98
2024-01-01 03:00:00+00:00,BTC,45058.9025,45417.9486,44969.7079,45264.9001,20552.43
2024-01-01 04:00:00+00:00,BTC,45236.3943,45261.0589,44585.8724,44727.4973,12617.91
2024-01-01 05:00:00+00:00,BTC,44766.6588,44902.666,44312.4258,44372.435,11003.92
2024-01-01 06:00:00+00:00,BTC,44407.702,44622.399,44238.0084,44407.371,13076.73
2024-01-01 07:00:00+00:00,BTC,44449.6716,44575.204,44182.6151,44321.6403,5333.25
2024-01-01 08:00:00+00:00,BTC,44325.2221,44424.1047,44237.7114,44317.2652,4735.46
2024-01-01 09:00:00+00:00,BTC,44308.0681,44363.5374,43999.6872,44086.5477,17668.1
2024-01-01 10:00:00+00:00,BTC,44211.448,44388.15,44150.797,44324.7872,12958.37
2024-01-01 11:00:00+00:00,BTC,44316.2183,44581.6125,44192.1624,44536.5946,8948.45
2024-01-01 12:00:00+00:00,BTC,44517.3933,44701.4216,44437.3173,44554.7924,5922.08
2024-01-01 13:00:00+00:00,BTC,44494.708,45164.7512,44456.0037,44863.6013,8270.22
2024-01-01 14:00:00+00:00,BTC,44882.0425,45020.8697,44758.8978,44992.4127,15869.05
2024-01-01 15:00:00+00:00,BTC,45033.4504,45178.0136,44588.9739,44756.4678,18538.7
2024-01-01 16:00:00+00:00,BTC,44721.8334,45081.2714,44510.8784,44857.8347,7008.01
2024-01-01 17:00:00+00:00,BTC,44845.4903,45047.4834,44533.0943,44595.3902,20419.13
2024-01-01 18:00:00+00:00,BTC,44540.9839,44922.9621,44514.2566,44836.1193,7219.36
2024-01-01 19:00:00+00:00,BTC,44777.3446,44913.8753,44515.6262,44822.6003,16207.61
2024-01-01 20:00:00+00:00,BTC,44875.7828,45058.0249,44609.8079,44772.0743,17647.88
2024-01-01 21:00:00+00:00,BTC,44738.4488,44921.5504,44543.9941,44585.957,13376.27
2024-01-01 22:00:00+00:00,BTC,44615.7564,45133.2865,44594.5265,44921.1898,24411.66
2024-01-01 23:00:00+00:00,BTC,44925.834,45129.6433,44812.2899,44878.8882,6498.48
2024-01-02 00:00:00+00:00,BTC,44916.5711,44950.6075,44555.6591,44761.5134,14235.44
2024-01-02 01:00:00+00:00,BTC,44733.459,44973.0767,44631.7182,44665.2811,11179.67
2024-01-02 02:00:00+00:00,BTC,44707.1205,45098.6753,44698.8357,44811.3015,9189.94
2024-01-02 03:00:00+00:00,BTC,44863.3687,44970.2675,44804.5818,44911.8831,7895.48
2024-01-02 04:00:00+00:00,BTC,44927.2033,45057.9845,44893.8119,45025.7273,9932.56
2024-01-02 05:00:00+00:00,BTC,44979.6874,45260.8971,44950.6609,45144.8605,13486.08
2024-01-02 06:00:00+00:00,BTC,45138.0733,45782.6837,45019.0569,45741.019,21665.36
2024-01-02 07:00:00+00:00,BTC,45742.8049,45804.7387,45601.5922,45627.5117,8557.01
2024-01-02 08:00:00+00:00,BTC,45584.8431,45621.0089,45468.6612,45484.7995,8970.94
2024-01-02 09:00:00+00:00,BTC,45526.4812,45621.0882,45213.5487,45258.8866,8285.76
2024-01-02 10:00:00+00:00,BTC,45323.7012,45593.4782,45208.7254,45430.1188,3477.68
2024-01-02 11:00:00+00:00,BTC,45355.3205,45773.0587,45201.3007,45745.4795,11553.0
2024-01-02 12:00:00+00:00,BTC,45732.854,45852.5488,45585.7423,45713.7607,4588.94
2024-01-02 13:00:00+00:00,BTC,45699.2998,45758.716,45470.8031,45479.362,7215.0
2024-01-02 14:00:00+00:00,BTC,45530.3806,45696.4487,45050.4028,45250.5087,4217.09
2024-01-02 15:00:00+00:00,BTC,45196.346,45564.4418,45125.1815,45431.3379,8078.47
2024-01-02 16:00:00+00:00,BTC,45475.9345,45744.3001,45401.8772,45638.7794,10670.79
2024-01-02 17:00:00+00:00,BTC,45616.8214,45816.6167,45592.7341,45791.0233,10455.58
2024-01-02 18:00:00+00:00,BTC,45741.7411,45880.4677,45528.7693,45604.9764,4273.51
2024-01-02 19:00:00+00:00,BTC,45531.6357,45754.2605,45489.2809,45670.049,9697.94
