mode,period,country_i,country_j,pearson_r,spearman_r,kendall_tau,effective_n,bootstrap_ci_low,bootstrap_ci_high,near_perfect_warning,low_n_warning,low_variance_warning,headline_allowed
changes,normal,AT,AU,0.19082675454958037,-0.222717701593687,-0.1973855084879307,7,-0.9123848953312513,0.866374188664032,False,True,False,False
changes,normal,AT,BE,-0.31486223066201235,-0.08908708063747481,-0.0657951694959769,7,-0.7314157683432091,0.9734278358636321,False,True,False,False
changes,normal,AT,BR,0.17382761051042284,-0.222717701593687,-0.1973855084879307,7,-0.735315776130438,0.8972762795993862,False,True,False,False
changes,normal,AT,CA,0.9999998586414781,1.0,1.0,7,0.9999997735265832,1.0,True,True,False,False
changes,normal,AT,CH,0.06632388616654487,0.445435403187374,0.3289758474798845,7,-0.41848664671928254,0.9794719884183132,False,True,False,False
changes,normal,AT,CL,0.21723239781670836,0.5790660241435863,0.4605661864718383,7,-0.06563284075655779,0.967861646692867,False,True,False,False
changes,normal,AT,DE,0.2383770413592652,-0.2672612419124244,-0.1973855084879307,7,-0.9266665888889671,0.6436254058184704,False,True,False,False
changes,normal,AT,DK,0.5082655727824954,0.40089186286863665,0.3289758474798845,7,-0.5791389800335072,0.8832275007071937,False,True,False,False
changes,normal,AT,ES,,,,7,,,False,True,True,False
changes,normal,AT,FI,0.059811827994439744,0.2672612419124244,0.1973855084879307,7,-0.47287817051735753,0.6914800296852214,False,True,False,False
changes,normal,AT,FR,-0.06666641931909578,-0.044543540318737404,-0.0657951694959769,7,-0.699013130153805,0.36515188462383597,False,True,False,False
changes,normal,AT,GB,-0.023270907946797387,0.35634832254989923,0.3289758474798845,7,-0.3881414994889592,0.9303523240107706,False,True,False,False
changes,normal,AT,GG,0.226167681172063,-0.08908708063747481,-0.0657951694959769,7,-0.5086212960368235,0.9525754748718069,False,True,False,False
changes,normal,AT,GR,0.10230169297060647,0.445435403187374,0.3289758474798845,7,-0.3430980598775711,0.8005231150507238,False,True,False,False
changes,normal,AT,HK,,,,7,,,False,True,True,False
changes,normal,AT,IE,-0.48858275841659643,-0.8017837257372733,-0.7237468644557459,7,-0.927974192574197,-0.36987754263186895,False,True,False,False
changes,normal,AT,IM,-0.029438923420755797,-0.445435403187374,-0.3289758474798845,7,-0.9767924485961997,0.27892910057911396,False,True,False,False
changes,normal,AT,IT,,,,7,,,False,True,True,False
changes,normal,AT,JE,-0.2414595566499389,-0.7572401854185358,-0.5921565254637922,7,-0.9825638814317945,0.10162321691213222,False,True,False,False
changes,normal,AT,JP,0.43674969283177034,0.7572401854185358,0.5921565254637922,7,0.19235331806654588,0.9847844600440553,False,True,False,False
changes,normal,AT,KR,0.3121225406866015,0.08908708063747481,0.0657951694959769,7,-0.767398466775305,0.7608712863138283,False,True,False,False
changes,normal,AT,LU,0.7667480252111947,0.668153104781061,0.5921565254637922,7,-0.36369616926384835,0.9961823487672089,False,True,False,False
changes,normal,AT,MO,0.4219378030240956,0.08908708063747481,0.0657951694959769,7,-0.8096101580434397,0.8771524158563386,False,True,False,False
changes,normal,AT,MX,0.2788545206954615,0.08908708063747481,0.0657951694959769,7,-0.8472809525769379,0.727912703630242,False,True,False,False
changes,normal,AT,NL,0.6400128063096714,0.1336306209562122,0.0657951694959769,7,-0.7001087920834811,0.9990830329973537,False,True,False,False
changes,normal,AT,PH,,,,7,,,False,True,True,False
changes,normal,AT,SE,0.17254180007258185,0.17817416127494962,0.1973855084879307,7,-0.23166284908555781,0.9149513207507087,False,True,False,False
changes,normal,AT,TW,-0.056592498555094566,-0.1336306209562122,-0.0657951694959769,7,-0.972622909946506,0.316147916794469,False,True,False,False
changes,normal,AT,US,-0.25521503416908664,-0.4899789435061115,-0.4605661864718383,7,-0.6991988836752591,-0.1744374087997725,False,True,False,False
changes,normal,AT,ZA,,,,7,,,False,True,True,False
changes,normal,AU,BE,-0.870925234151973,-0.8928571428571429,-0.7142857142857143,7,-0.9864008191931829,-0.5904939907166206,False,True,False,False
changes,normal,AU,BR,0.6795036974112207,0.7142857142857144,0.5238095238095238,7,-0.0948485783107379,0.9654584613957667,False,True,False,False
changes,normal,AU,CA,0.19117591690200805,-0.222717701593687,-0.1973855084879307,7,-0.8846594081265083,0.8005388452852921,False,True,False,False
changes,normal,AU,CH,0.052886008569026116,0.07142857142857144,0.14285714285714288,7,-0.8464739279994082,0.9851058255943103,False,True,False,False
changes,normal,AU,CL,-0.4759724861849686,-0.42857142857142866,-0.4285714285714286,7,-0.9823481498751715,0.7851350104653482,False,True,False,False
changes,normal,AU,DE,-0.2701850538074338,-0.3571428571428572,-0.33333333333333337,7,-0.9625490024477469,0.8206764659082614,False,True,False,False
changes,normal,AU,DK,-0.3414643272939117,-0.3571428571428572,-0.14285714285714288,7,-0.8728334129774719,0.6644483307088109,False,True,False,False
changes,normal,AU,ES,,,,7,,,False,True,True,False
changes,normal,AU,FI,-0.44881031797675425,-0.642857142857143,-0.4285714285714286,7,-0.8423815803123369,0.5444044343121535,False,True,False,False
changes,normal,AU,FR,-0.22753187357289215,-0.39285714285714296,-0.33333333333333337,7,-0.9610194492610372,0.798514768703242,False,True,False,False
changes,normal,AU,GB,0.5997613790478098,0.642857142857143,0.4285714285714286,7,0.2756889837474875,0.9592474232325328,False,True,False,False
changes,normal,AU,GG,0.1788630722222586,0.07142857142857144,0.14285714285714288,7,-0.812311108069037,0.945165172991402,False,True,False,False
changes,normal,AU,GR,0.4313576314465428,0.1785714285714286,0.04761904761904762,7,-0.9013250223632727,0.9304292765664214,False,True,False,False
changes,normal,AU,HK,,,,7,,,False,True,True,False
changes,normal,AU,IE,-0.30650772917536323,-0.25,-0.23809523809523814,7,-0.9850141185384066,0.3525456805827038,False,True,False,False
changes,normal,AU,IM,-0.14778736823805344,-0.3571428571428572,-0.33333333333333337,7,-0.9859935439047164,0.7787624772587916,False,True,False,False
changes,normal,AU,IT,,,,7,,,False,True,True,False
changes,normal,AU,JE,0.044014840725118,0.14285714285714288,0.14285714285714288,7,-0.8550071254045898,0.9135251446955799,False,True,False,False
changes,normal,AU,JP,-0.662873530850891,-0.642857142857143,-0.4285714285714286,7,-0.979854021234153,0.09311126419899851,False,True,False,False
changes,normal,AU,KR,0.4932520993122167,0.5,0.33333333333333337,7,-0.22883281498550634,0.9403458425122013,False,True,False,False
changes,normal,AU,LU,0.03708031301098831,-0.07142857142857144,-0.04761904761904762,7,-0.7366138981838444,0.8136672383143364,False,True,False,False
changes,normal,AU,MO,-0.10151299177512142,0.0,0.04761904761904762,7,-0.8845971777776327,0.8853586994361823,False,True,False,False
changes,normal,AU,MX,0.5436924039038393,0.6071428571428572,0.5238095238095238,7,-0.5496880578700284,0.9709637528457309,False,True,False,False
changes,normal,AU,NL,0.5346446156716538,0.5357142857142858,0.33333333333333337,7,-0.05193901342977984,0.9483973289948334,False,True,False,False
changes,normal,AU,PH,,,,7,,,False,True,True,False
changes,normal,AU,SE,0.12877722967087335,0.0,0.04761904761904762,7,-0.757898687087467,0.8150646021777703,False,True,False,False
changes,normal,AU,TW,0.1453038332251265,0.3214285714285715,0.23809523809523814,7,-0.6816748925580346,0.8515560914397525,False,True,False,False
changes,normal,AU,US,0.4167743089156309,-0.14285714285714288,-0.04761904761904762,7,-0.8494641610652676,0.9911585785516369,False,True,False,False
changes,normal,AU,ZA,,,,7,,,False,True,True,False
changes,normal,BE,BR,-0.42035774296292794,-0.42857142857142866,-0.23809523809523814,7,-0.9367486811229045,0.4233496305004978,False,True,False,False
changes,normal,BE,CA,-0.31515781095938,-0.08908708063747481,-0.0657951694959769,7,-0.7740861088528508,0.9406086312606784,False,True,False,False
changes,normal,BE,CH,0.028852052711713018,-0.14285714285714288,-0.04761904761904762,7,-0.7192760447922931,0.9580471714905162,False,True,False,False
changes,normal,BE,CL,0.10027748047065964,0.07142857142857144,0.14285714285714288,7,-0.9217866957924672,0.9428126588067213,False,True,False,False
changes,normal,BE,DE,0.16323648844780445,0.39285714285714296,0.23809523809523814,7,-0.8681115285243651,0.790504010984413,False,True,False,False
changes,normal,BE,DK,0.0847958826131105,0.14285714285714288,0.04761904761904762,7,-0.7192732098401133,0.6797542112053795,False,True,False,False
changes,normal,BE,ES,,,,7,,,False,True,True,False
